	r	theta	phi
0	0.3947025909536362	5.539505336075609	1.6656697259710946
1	0.0916921519764658	3.3564521637306264	1.050470897092962
2	0.6893474165664725	2.384514000055732	2.070754654628161
3	0.6703353256854144	2.742781445160191	1.318429693400268
4	0.2291229261130093	1.6598071453836898	2.0269797198539927
5	0.9379558849557447	5.634314926915802	0.8999076415908493
6	0.33927296093340104	2.316001267928581	1.028554516024993
7	0.2618143634625172	3.8858383938546264	2.137708252912163
8	0.8285449303755207	0.29565695934626446	1.9555689903251363
9	1.4848998129388358	2.580448432275089	0.5703046807813118
10	0.9616476661498307	6.010366605363992	2.113083673330574
11	1.103098034963741	4.622021388693754	0.9353477882461629
12	0.26556887281079655	2.484615406432123	2.0148250231763036
13	1.6528310964892319	5.104748410090186	2.2687742357014593
14	0.5886235432960951	4.333023917638118	1.0562462986556655
15	0.5935732457797236	3.1365188535077593	0.2129648394479579
16	0.8519900204547607	2.9617774482355466	2.266103554101457
17	0.9781475974600913	3.007985742605298	2.8182609690338323
18	0.7594885710731902	5.617882505487017	1.2606819715219015
19	1.2369049015866067	1.548305536170741	1.3860843648223435
20	0.7330913621468416	4.875700856713954	1.2510670456246946
21	1.0219358596232806	6.1598767673993295	1.2801873473188066
22	0.1857767595376985	1.8985958222721349	0.8593613577081629
23	0.9580330261553501	3.5793416126544244	0.6894705906154119
24	1.4878516102019645	5.1351290756045005	0.5033123659935352
25	0.42371737074338217	1.5224060273285012	2.6162427237840653
26	0.18912449717212526	5.0124714015017515	2.5957260511303404
27	1.5682992282852262	3.9185925042475476	1.5297564661722172
28	0.9814992130592566	2.3764437394381748	0.3347214778647096
29	0.04257835123029744	1.9483345817078856	2.853565193286381
30	0.4631801561840723	4.66841179860276	0.931134681268114
31	0.7067851515065505	3.8561704834366437	1.332033301525276
32	1.7175875801849694	6.006338943251911	2.6066143454131714
33	0.6045457453850481	0.1924335913082727	1.3559584622011367
34	1.099913355083943	4.832209973419252	2.1538505926119815
35	0.9376430472981663	0.8079117571447663	1.304316868195243
36	0.46877640877716853	5.29116241330836	2.3025071077658543
37	0.4935252096607154	1.281168789487524	1.5477679364371426
38	0.2709953156707687	3.062433830487863	2.693370587501471
39	0.749192114953772	0.6663827602589198	1.9333349814249976
40	0.4805189827879855	0.14184351010408008	2.066316371944877
41	0.23927325979473688	5.173124816927456	1.4642438828849826
42	0.44151741983231113	1.7436037542117058	1.9280793204801427
43	0.23245670480288547	0.37065576873695266	2.030999904138143
44	0.7549855695883286	6.276093161605616	2.0678739480159427
45	0.8075848891260251	0.07471335991038183	1.7963285875231494
46	0.36241490191345777	0.6939068770818817	1.3877989655591956
47	1.1865086460758765	5.558047895686034	2.1668738384961683
48	0.535525745906852	4.814575441121884	1.1287760654201706
49	0.3007113220890282	4.72023158369952	1.0172912673025643
50	1.1425627203873712	5.138942984881625	0.5467165547256857
51	1.7871292066335849	3.5879306828995046	2.5331505944676644
52	0.12554234945350615	6.235182656562409	2.426588195130584
53	1.9508957691788424	1.5727845425135067	1.136370878426268
54	1.2340843271063864	4.266832155446338	1.6095190754643054
55	0.7596490837018829	0.7814527232424783	1.9470808757941769
56	0.27603246888940225	2.6809625147685714	1.078495340417599
57	0.1774379688936298	2.2002158586794587	1.6536146773539644
58	0.5279395140055386	2.8106806130373756	0.953328013938007
59	0.28597175133131936	0.9392301257775056	2.00164072679719
60	0.7489457426462115	4.778043836894104	1.1152502543646066
61	0.41583414057708357	0.3294743321137541	1.668693730730418
62	0.15658329196716386	5.461334751920941	1.4053047928763684
63	0.4834230364082359	5.268014599683456	3.059726597288281
64	1.2082082403707055	4.913058948372035	0.20986249004606283
65	0.9228494628294356	4.112734045934136	1.4557394980973237
66	0.49886820798674	5.735940349234949	0.35360816380835713
67	0.8614547698744979	2.4793727335042393	0.9390025811773465
68	1.0404130120319168	5.006881945651275	1.2715714469048516
69	0.5155115476611812	0.7070232115155793	2.33766379862859
70	0.9873043887314078	3.9598006058159445	2.179627574185707
71	0.10482613314882151	0.66326380437729	1.3979058057659053
72	0.28772713789966176	4.629328483802589	0.25178126013971047
73	0.36005415456318	6.021209585994502	0.8163155888412308
74	0.6689967240385887	3.4332119377192907	1.9485455314715487
75	0.6560535325898762	1.0500076927998354	0.6812687658594905
76	0.994852665787628	1.0169697760807013	1.7330830211189694
77	0.7600457554185966	1.012101020662183	1.3519275034504492
78	1.2992785430627949	6.001989268966303	1.112446352248371
79	1.257729282080912	1.6870139107190902	1.4753255467451556
80	1.6263079100380933	4.52754845590209	1.8031835496710111
81	0.3247650057554131	0.5292294782896991	2.0223563584461006
82	0.28236262384336075	4.703858057854235	0.8389067948613075
83	1.3545401061066393	3.38615683866579	0.3914093790124544
84	0.3705036483047302	2.8791585119240106	0.4387058164947563
85	0.9274906770176661	3.2920287574168348	1.4893000917848795
86	0.07540934727746357	5.7610742015275145	2.119575248761535
87	1.862385815784794	3.045052607502409	1.2510993714844976
88	0.3946055122837304	3.340030698103959	1.6701575487199602
89	0.3186661044043466	5.789882713670429	0.9397922480984844
90	0.3721033905270471	1.869356420169736	1.4157104165429575
91	0.5727593440444689	3.4208908185836924	1.6717465311782636
92	1.2116983903225638	4.17020088051413	0.5833618992301244
93	0.6183940090166672	3.6527090074237307	0.5268394477675815
94	0.4324614564924536	5.822071742762191	1.4041879494027756
95	0.2619688271321546	4.4421280711627595	2.1670755002570643
96	0.47129585311631267	3.031660565342671	1.4209084082191634
97	0.36569997827579626	0.8760531441243352	0.642293620960293
98	1.4216840122476373	2.4314977570875973	2.448691070627248
99	0.702096969866075	2.151940879599076	0.31025291051449916
